teamName,urlName,headshotUrl,scorerId,upcomingEventStatusId,rank,teamLogo,posIdsNoFlex,defaultPosId,posShortNames,team,rookie,minorsEligible,posIds,teamId,name,teamShortName,shortName,next_match,fpts,fpts_per_game,statusId
Manchester City,savio-moreira-de-oliveira,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_City.png,06mvz,,288,True,['702'],701,M,False,False,False,['702'],110080,Savio,MCI,Savio,FUL<br/>Wed 2:30PM,57,3.8,
Chelsea,tosin-adarabioyo,https://fantraximg.com/assets/images/logos/sportsteam/epl/Chelsea.png,03yeg,,287,True,['703'],703,D,False,False,False,['703'],110040,Tosin Adarabioyo,CHE,T. Adarabioyo,LEE 2<br/>@CHE 2 F,57,5.18,5
Leeds United,lucas-estella-perri,https://fantraximg.com/assets/images/logos/sportsteam/epl/Leeds_United2.png,04ym7,,290,True,['704'],704,G,False,False,False,['704'],110261,Lucas Perri,LEE,Lucas Perri,LEE 2<br/>@CHE 2 F,56,3.5,5
Fulham,jorge-cuenca,https://fantraximg.com/assets/images/logos/sportsteam/epl/Fulham.png,06nyw,2,289,True,['703'],703,D,False,False,False,['703'],110063,Jorge Cuenca,FUL,J. Cuenca,@MCI<br/>Wed 2:30PM,56,4.67,4
Chelsea,jamie-gittens,https://fantraximg.com/assets/images/logos/sportsteam/epl/Chelsea.png,06y9n,,291,True,['701'],701,F,False,False,False,['701'],110040,Jamie Gittens,CHE,J. Gittens,LEE 2<br/>@CHE 2 F,55.5,3.47,5
Manchester United,lisandro-martinez,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_United.png,062pl,,292,True,['703'],703,D,False,False,False,['703'],110090,Lisandro Martinez,MUN,L. Martinez,MUN 1<br/>@WHU 1 F,55.5,3.96,
Aston Villa,douglas-luiz-soares-de-paulo,https://fantraximg.com/assets/images/logos/sportsteam/epl/Aston_Villa.png,04spp,2,293,True,['702'],702,M,False,False,False,['702'],110011,Douglas Luiz,AVL,Douglas Luiz,BHA<br/>Wed 2:30PM,55,5.5,
Manchester United,manuel-ugarte,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_United.png,06pib,,297,True,['702'],702,M,False,False,False,['702'],110090,Manuel Ugarte,MUN,M. Ugarte,MUN 1<br/>@WHU 1 F,54.5,3.03,5
Fulham,joshua-king,https://fantraximg.com/assets/images/logos/sportsteam/epl/Fulham.png,06jh3,,296,True,['702'],702,M,False,False,False,['702'],110063,Joshua King,FUL,J. King,@MCI<br/>Wed 2:30PM,54.5,2.73,4
Burnley,armando-broja,https://fantraximg.com/assets/images/logos/sportsteam/epl/Burnley_3.png,05gvx,,294,True,['701'],701,F,False,False,False,['701'],110223,Armando Broja,BUR,A. Broja,@CRY<br/>Wed 2:30PM,54.5,2.87,4
Burnley,jacob-bruun-larsen,https://fantraximg.com/assets/images/logos/sportsteam/epl/Burnley_3.png,06dwm,2,295,True,['701'],701,F,False,False,False,['701'],110223,Jacob Bruun Larsen,BUR,J. Bruun Larsen,@CRY<br/>Wed 2:30PM,54.5,2.73,
Chelsea,liam-delap,https://fantraximg.com/assets/images/logos/sportsteam/epl/Chelsea.png,05oig,,300,True,['701'],701,F,False,False,False,['701'],110040,Liam Delap,CHE,L. Delap,LEE 2<br/>@CHE 2 F,53.5,3.15,
Everton,carlos-alcaraz,https://fantraximg.com/assets/images/logos/sportsteam/epl/Everton.png,0687c,,299,True,['702'],702,M,False,False,False,['702'],110050,Carlos Alcaraz,EVE,C. Alcaraz,BOU 2<br/>@EVE 1 F,53.5,3.34,5
Sunderland,simon-adingra,https://fantraximg.com/assets/images/logos/sportsteam/epl/Sunderland.png,0626q,,298,True,['702'],701,M,False,False,False,['702'],110141,Simon Adingra,SUN,S. Adingra,LIV<br/>Wed 3:15PM,53.5,3.82,4
Manchester United,leny-yoro,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_United.png,06mx0,,302,True,['703'],703,D,False,False,False,['703'],110090,Leny Yoro,MUN,L. Yoro,MUN 1<br/>@WHU 1 F,53.5,2.33,5
Wolverhampton,jackson-tchatchoua,https://fantraximg.com/assets/images/logos/sportsteam/epl/Wolverhampton_Wanderers.png,070bg,,301,True,['703'],703,D,False,False,False,['703'],110191,Jackson Tchatchoua,WOL,J. Tchatchoua,@NOT Wed<br/>2:30PM<br/>ARS Wed3:00PM,53.5,2.43,4
Nottingham Forest,ola-aina,https://fantraximg.com/assets/images/logos/sportsteam/epl/Nottingham_Forest.png,03frx,2,303,True,['703'],703,D,False,False,False,['703'],110105,Ola Aina,NOT,O. Aina,WOL<br/>Wed 2:30PM,53,5.89,
Everton,dwight-mcneil,https://fantraximg.com/assets/images/logos/sportsteam/epl/Everton.png,04p0d,,305,True,['702'],701,M,False,False,False,['702'],110050,Dwight McNeil,EVE,D. McNeil,BOU 2<br/>@EVE 1 F,53,3.79,5
Fulham,timothy-castagne,https://fantraximg.com/assets/images/logos/sportsteam/epl/Fulham.png,05o4c,,304,True,['703'],703,D,False,False,False,['703'],110063,Timothy Castagne,FUL,T. Castagne,@MCI<br/>Wed 2:30PM,53,2.65,4
Crystal Palace,eddie-nketiah,https://fantraximg.com/assets/images/logos/sportsteam/epl/Crystal_Palace.png,04ge9,,306,True,['701'],701,F,False,False,False,['701'],110045,Eddie Nketiah,CRY,E. Nketiah,BUR<br/>Wed 2:30PM,52.5,4.38,4
West Ham United,max-kilman,https://fantraximg.com/assets/images/logos/sportsteam/epl/West_Ham_United.png,04yey,,307,True,['703'],703,D,False,False,False,['703'],110175,Max Kilman,WHU,M. Kilman,MUN 1<br/>@WHU 1 F,52.25,2.49,5
Tottenham Hotspur,kevin-danso,https://fantraximg.com/assets/images/logos/sportsteam/epl/Tottenham_Hotspur.png,057cr,,308,True,['703'],703,D,False,False,False,['703'],110160,Kevin Danso,TOT,K. Danso,NEW 2<br/>@TOT 1 F,51.75,3.98,5
Brighton,carlos-baleba,https://fantraximg.com/assets/images/logos/sportsteam/epl/Brighton_and_Hove_Albion.png,06fwi,2,309,True,['702'],702,M,False,False,False,['702'],110240,Carlos Baleba,BHA,C. Baleba,@AVL<br/>Wed 2:30PM,51.5,2.58,4
Wolverhampton,yerson-mosquera,https://fantraximg.com/assets/images/logos/sportsteam/epl/Wolverhampton_Wanderers.png,05ts6,2,310,True,['703'],703,D,False,False,False,['703'],110191,Yerson Mosquera,WOL,Y. Mosquera,@NOT Wed<br/>2:30PM<br/>ARS Wed3:00PM,51.25,3.2,4
Aston Villa,tyrone-mings,https://fantraximg.com/assets/images/logos/sportsteam/epl/Aston_Villa.png,03rec,,311,True,['703'],703,D,False,False,False,['703'],110011,Tyrone Mings,AVL,T. Mings,BHA<br/>Wed 2:30PM,51,5.67,4
Newcastle United,jacob-ramsey,https://fantraximg.com/assets/images/logos/sportsteam/epl/Newcastle_United.png,051k3,,312,True,['702'],702,M,False,False,False,['702'],110101,Jacob Ramsey,NEW,J. Ramsey,NEW 2<br/>@TOT 1 F,51,3.19,5
Brighton,pascal-gross,https://fantraximg.com/assets/images/logos/sportsteam/epl/Brighton_and_Hove_Albion.png,04fk1,2,313,True,['702'],702,M,False,False,False,['702'],110240,Pascal Gross,BHA,P. Gross,@AVL<br/>Wed 2:30PM,50,8.33,
Brighton,jack-hinshelwood,https://fantraximg.com/assets/images/logos/sportsteam/epl/Brighton_and_Hove_Albion.png,067ys,,314,True,['702'],702,M,False,False,False,['702'],110240,Jack Hinshelwood,BHA,J. Hinshelwood,@AVL<br/>Wed 2:30PM,50,3.57,4
Wolverhampton,jose-pedro-malheiro-de-sa,https://fantraximg.com/assets/images/logos/sportsteam/epl/Wolverhampton_Wanderers.png,05udg,2,315,True,['704'],704,G,False,False,False,['704'],110191,Jose Sa,WOL,Jose Sa,@NOT Wed<br/>2:30PM<br/>ARS Wed3:00PM,49.75,3.83,4
Fulham,oscar-bobb,https://fantraximg.com/assets/images/logos/sportsteam/epl/Fulham.png,05ye7,,316,True,['702'],702,M,False,False,False,['702'],110063,Oscar Bobb,FUL,O. Bobb,@MCI<br/>Wed 2:30PM,49.5,4.95,
